Running LDA inference using FTreeLDA
For dataset enron
For number of iterations 10
For number of topics 100
Using 1 sampler threads and 1 updater threads on bros
Running LDA inference using FTreeLDA
Now randomly initialising model variables for training
We will perform a test on a heldout set.
Likelihood on held out documents: -8.41508 at time 1.47978e+06
Likelihood on held out documents: -8.41553 at time 1.49232e+06
Likelihood on held out documents: -8.41439 at time 1.49671e+06
Likelihood on held out documents: -8.41484 at time 1.4996e+06
Likelihood on held out documents: -8.41118 at time 1.51189e+06
Likelihood on held out documents: -8.41493 at time 1.51478e+06
Likelihood on held out documents: -8.41286 at time 1.51767e+06
Likelihood on held out documents: -8.41251 at time 1.52056e+06
Likelihood on held out documents: -8.41895 at time 1.52345e+06
Likelihood on held out documents: -8.41431 at time 1.52813e+06
Likelihood on held out documents: -8.42002 at time 1.53175e+06
Likelihood on held out documents: -8.41489 at time 1.55232e+06
Likelihood on held out documents: -8.4145 at time 1.55522e+06
Likelihood on held out documents: -8.40932 at time 1.55812e+06
Likelihood on held out documents: -8.41146 at time 1.56125e+06
Likelihood on held out documents: -8.40955 at time 1.56415e+06
Likelihood on held out documents: -8.41542 at time 1.56704e+06
Likelihood on held out documents: -8.411 at time 1.56994e+06
Likelihood on held out documents: -8.41871 at time 1.57283e+06
Likelihood on held out documents: -8.40801 at time 1.57611e+06
Likelihood on held out documents: -8.41151 at time 1.58165e+06
Likelihood on held out documents: -8.41258 at time 1.5863e+06
Likelihood on held out documents: -8.41228 at time 1.58938e+06
Likelihood on held out documents: -8.41321 at time 1.59228e+06
Likelihood on held out documents: -8.41011 at time 1.59536e+06
Likelihood on held out documents: -8.4095 at time 1.5987e+06
Likelihood on held out documents: -8.41182 at time 1.60387e+06
Likelihood on held out documents: -8.41175 at time 1.61125e+06
Likelihood on held out documents: -8.41623 at time 1.61431e+06
Likelihood on held out documents: -8.4103 at time 1.61721e+06
Likelihood on held out documents: -8.41542 at time 1.6201e+06
Likelihood on held out documents: -8.41682 at time 1.623e+06
Likelihood on held out documents: -8.41474 at time 1.6259e+06
Likelihood on held out documents: -8.41594 at time 1.62879e+06
Likelihood on held out documents: -8.41277 at time 1.63457e+06
Likelihood on held out documents: -8.41125 at time 1.64136e+06
Likelihood on held out documents: -8.41166 at time 1.65111e+06
Likelihood on held out documents: -8.41314 at time 1.65559e+06
Likelihood on held out documents: -8.41319 at time 1.66066e+06
Likelihood on held out documents: -8.41312 at time 1.66463e+06
Likelihood on held out documents: -8.41467 at time 1.67774e+06
Likelihood on held out documents: -8.41787 at time 1.68196e+06
Likelihood on held out documents: -8.41758 at time 1.68566e+06
Likelihood on held out documents: -8.41673 at time 1.69375e+06
Likelihood on held out documents: -8.4168 at time 1.69843e+06
Likelihood on held out documents: -8.4139 at time 1.7068e+06
Likelihood on held out documents: -8.41423 at time 1.7097e+06
Likelihood on held out documents: -8.41605 at time 1.71259e+06
Likelihood on held out documents: -8.41559 at time 1.71551e+06
Likelihood on held out documents: -8.41598 at time 1.71881e+06
Likelihood on held out documents: -8.41629 at time 1.7244e+06
Likelihood on held out documents: -8.41169 at time 1.72821e+06
Likelihood on held out documents: -8.41468 at time 1.7431e+06
Likelihood on held out documents: -8.41363 at time 1.75134e+06
Likelihood on held out documents: -8.40918 at time 1.75494e+06
Likelihood on held out documents: -8.41143 at time 1.76176e+06
Likelihood on held out documents: -8.41029 at time 1.76544e+06
Likelihood on held out documents: -8.41407 at time 1.77781e+06
Likelihood on held out documents: -8.41258 at time 1.78073e+06
Likelihood on held out documents: -8.41481 at time 1.78383e+06
Likelihood on held out documents: -8.40701 at time 1.79132e+06
Likelihood on held out documents: -8.4125 at time 1.79422e+06
Likelihood on held out documents: -8.41321 at time 1.79741e+06
Likelihood on held out documents: -8.41417 at time 1.8006e+06
Likelihood on held out documents: -8.41189 at time 1.80413e+06
Likelihood on held out documents: -8.41905 at time 1.80703e+06
Likelihood on held out documents: -8.41266 at time 1.80993e+06
Likelihood on held out documents: -8.41641 at time 1.81508e+06
Likelihood on held out documents: -8.41401 at time 1.81798e+06
Likelihood on held out documents: -8.41506 at time 1.82089e+06
Likelihood on held out documents: -8.41755 at time 1.82624e+06
Likelihood on held out documents: -8.4136 at time 1.83154e+06
Likelihood on held out documents: -8.41119 at time 1.83527e+06
Likelihood on held out documents: -8.41395 at time 1.83896e+06
Likelihood on held out documents: -8.41629 at time 1.84313e+06
Likelihood on held out documents: -8.41405 at time 1.84816e+06
Likelihood on held out documents: -8.4156 at time 1.85658e+06
Likelihood on held out documents: -8.41887 at time 1.85948e+06
Likelihood on held out documents: -8.41541 at time 1.86247e+06
Likelihood on held out documents: -8.41338 at time 1.86966e+06
Likelihood on held out documents: -8.41381 at time 1.87255e+06
Likelihood on held out documents: -8.41222 at time 1.87546e+06
Likelihood on held out documents: -8.41585 at time 1.88011e+06
Likelihood on held out documents: -8.41615 at time 1.88317e+06
Likelihood on held out documents: -8.41274 at time 1.88904e+06
Likelihood on held out documents: -8.41419 at time 1.89193e+06
Likelihood on held out documents: -8.41079 at time 1.89482e+06
Likelihood on held out documents: -8.41559 at time 1.90713e+06
Likelihood on held out documents: -8.41662 at time 1.91638e+06
Likelihood on held out documents: -8.41546 at time 1.91927e+06
Likelihood on held out documents: -8.40922 at time 1.92216e+06
Likelihood on held out documents: -8.4143 at time 1.92508e+06
Likelihood on held out documents: -8.41676 at time 1.92798e+06
Likelihood on held out documents: -8.41382 at time 1.93087e+06
Likelihood on held out documents: -8.4148 at time 1.93396e+06
Likelihood on held out documents: -8.41622 at time 1.93898e+06
Likelihood on held out documents: -8.41495 at time 1.94419e+06
Likelihood on held out documents: -8.41329 at time 1.94926e+06
Likelihood on held out documents: -8.41373 at time 1.95536e+06
Likelihood on held out documents: -8.41264 at time 1.9583e+06
Likelihood on held out documents: -8.41678 at time 1.96134e+06
Likelihood on held out documents: -8.41209 at time 1.96426e+06
Likelihood on held out documents: -8.41583 at time 1.96716e+06
Likelihood on held out documents: -8.41316 at time 1.97005e+06
Likelihood on held out documents: -8.41325 at time 1.97294e+06
Likelihood on held out documents: -8.41413 at time 1.97583e+06
Likelihood on held out documents: -8.4158 at time 1.97936e+06
Likelihood on held out documents: -8.41194 at time 1.98236e+06
Likelihood on held out documents: -8.40893 at time 1.98565e+06
Likelihood on held out documents: -8.41027 at time 1.98854e+06
Likelihood on held out documents: -8.41097 at time 1.99143e+06
Likelihood on held out documents: -8.41343 at time 1.99432e+06
Likelihood on held out documents: -8.41206 at time 1.99722e+06
Likelihood on held out documents: -8.41362 at time 2.00011e+06
Likelihood on held out documents: -8.41261 at time 2.003e+06
Likelihood on held out documents: -8.41406 at time 2.0126e+06
Likelihood on held out documents: -8.41537 at time 2.05432e+06
Likelihood on held out documents: -8.41306 at time 2.06186e+06
Likelihood on held out documents: -8.41447 at time 2.09047e+06
Likelihood on held out documents: -8.41255 at time 2.09338e+06
Likelihood on held out documents: -8.41105 at time 2.09628e+06
Likelihood on held out documents: -8.41012 at time 2.09918e+06
Likelihood on held out documents: -8.41035 at time 2.10208e+06
Likelihood on held out documents: -8.4136 at time 2.10499e+06
Likelihood on held out documents: -8.4162 at time 2.11259e+06
Likelihood on held out documents: -8.41451 at time 2.11548e+06
Likelihood on held out documents: -8.41416 at time 2.12516e+06
Likelihood on held out documents: -8.41602 at time 2.12836e+06
Likelihood on held out documents: -8.41094 at time 2.13386e+06
Likelihood on held out documents: -8.41268 at time 2.13676e+06
Likelihood on held out documents: -8.4144 at time 2.13966e+06
Likelihood on held out documents: -8.41446 at time 2.15244e+06
Likelihood on held out documents: -8.41199 at time 2.15539e+06
Likelihood on held out documents: -8.41679 at time 2.17564e+06
Likelihood on held out documents: -8.41339 at time 2.18253e+06
Likelihood on held out documents: -8.41382 at time 2.18985e+06
Likelihood on held out documents: -8.41454 at time 2.19338e+06
Likelihood on held out documents: -8.4141 at time 2.20113e+06
Likelihood on held out documents: -8.41473 at time 2.20402e+06
Likelihood on held out documents: -8.4135 at time 2.2069e+06
Likelihood on held out documents: -8.41571 at time 2.2098e+06
Likelihood on held out documents: -8.41694 at time 2.2138e+06
Likelihood on held out documents: -8.41635 at time 2.21792e+06
Likelihood on held out documents: -8.41275 at time 2.22081e+06
Likelihood on held out documents: -8.41661 at time 2.2237e+06
Likelihood on held out documents: -8.41821 at time 2.22659e+06
Likelihood on held out documents: -8.41206 at time 2.22948e+06
Likelihood on held out documents: -8.41839 at time 2.23237e+06
Likelihood on held out documents: -8.41601 at time 2.23526e+06
Likelihood on held out documents: -8.41332 at time 2.23815e+06
